tour,calendar_year,date,event_name,event_id,sg_categories,traditional_stats
atvt,2022,2022-10-07,Ryo Ishikawa everyone PROJECT Challenge,9758,no,no
pgti,2022,2022-10-07,Players Championship presented by American Express hosted by Govt of Haryana & Panchkula Golf Club,9759,no,no
bet,2022,2022-10-06,Altron Big Easy Tour Play Off,9762,no,no
euro,2022,2022-10-02,Alfred Dunhill Links Championship,2022137,no,no
asa,2022,2022-10-02,Mercuries Taiwan Masters,9748,no,no
pga,2022,2022-10-02,Sanderson Farms Championship,54,yes,yes
kor,2022,2022-10-02,Hyundai Insurance KJ Choi Invitational,9750,no,no
cha,2022,2022-10-02,Hopps Open de Provence,2022327,no,no
jpn,2022,2022-10-02,Vantelin Tokai Classic,9745,no,no
afr,2022,2022-10-01,Vodacom Origins of Golf,9751,no,no
alp,2022,2022-09-30,Castelconturbia Alps Open,9741,no,no
pgti,2022,2022-09-30,Kapil Dev - Grant Thornton Invitational 2022 presented by DLF,9749,no,no
atvt,2022,2022-09-30,Elite grips challenge,9746,no,no
ngl,2022,2022-09-29,Gumbalde Open by Destination Gotland,9742,no,no
pgt,2022,2022-09-28,Castanea Resort Championship,9743,no,no
cha,2022,2022-09-25,Swiss Challenge,2022326,no,no
euro,2022,2022-09-25,Cazoo Open de France,2022136,no,no
kor,2022,2022-09-25,DGB Financial Group Open,9737,no,no
champ,2022,2022-09-25,PURE Insurance Championship,616,no,no
jpn,2022,2022-09-25,Panasonic Open Golf Championship,9733,no,no
asa,2022,2022-09-25,Yeangder TPC,9735,no,no
ngl,2022,2022-09-23,Great Northern Challenge,9732,no,no
adt,2022,2022-09-23,Combiphar Players Championship,9736,no,no
afr,2022,2022-09-23,SunBet Challenge hosted by Wild Coast Sun,9738,no,no
atvt,2022,2022-09-23,ISPS HANDA Hero ni nare! Challenge Tournament,9734,no,no
ept,2022,2022-09-23,Wright-Morgan Championship,9731,no,no
liv,2022,2022-09-18,Chicago,5,no,basic
kor,2022,2022-09-18,Bizplay-Electronic Times Open,9726,no,no
champ,2022,2022-09-18,Sanford International,23,no,no
pga,2022,2022-09-18,Fortinet Championship,464,yes,yes
jpn,2022,2022-09-18,ANA Open Golf Tournament,9722,no,no
can,2022,2022-09-18,Fortinet Cup Championship,10,no,no
cha,2022,2022-09-18,Open de Portugal at Royal Óbidos,2022325,no,no
euro,2022,2022-09-18,DS Automobiles Italian Open,2022135,no,no
pgti,2022,2022-09-17,Rajasthan Tourism presents Jaipur Open 2022 powered by AU Small Finance Bank,9725,no,no
afr,2022,2022-09-17,Vodacom Origins of Golf,9727,no,no
adt,2022,2022-09-16,OB Golf Invitational presented by Jababeka,9724,no,no
ept,2022,2022-09-16,The Eagle Orchid Scottish Masters,9718,no,no
atvt,2022,2022-09-16,PGM Challenge,9723,no,no
ngl,2022,2022-09-16,TRUST Forsikring Championship,9719,no,no
champ,2022,2022-09-11,Ascension Charity Classic,625,no,no
euro,2022,2022-09-11,BMW PGA Championship,2022134,no,no
asa,2022,2022-09-11,The 38th Shinhan Donghae Open,9713,no,no
pgti,2022,2022-09-10,J&K Open 2022 presented by J&K Tourism,9714,no,no
afr,2022,2022-09-10,Gary & Vivienne Player Challenge,9715,no,no
ept,2022,2022-09-09,Spey Valley Golf Resort,9711,no,no
ngl,2022,2022-09-09,BMW Onsjö Open,9712,no,no
can,2022,2022-09-04,GolfBC Championship,39,no,no
cha,2022,2022-09-04,B-NL Challenge Trophy by Hulencourt,2022323,no,no
kor,2022,2022-09-04,LX CHAMPIONSHIP,9706,no,no
liv,2022,2022-09-04,Boston,4,no,basic
kft,2022,2022-09-04,Korn Ferry Tour Championship presented by United Leasing & Finance,45,no,no
euro,2022,2022-09-04,Made in HimmerLand,2022133,no,no
jpn,2022,2022-09-04,Fujisankei Classic,9703,no,no
atgt,2022,2022-09-04,50th Thailand Open,9702,no,no
pgt,2022,2022-09-03,FaberExposize Gelpenberg Open,9708,no,no
atvt,2022,2022-09-03,DUNLOP PHOENIX tournament challenge in Fukushima,9704,no,no
adt,2022,2022-09-02,BRG Open Golf Championship,9705,no,no
ngl,2022,2022-09-02,Greatdays Trophy,9707,no,no
bet,2022,2022-09-01,Altron Big Easy Tour 8,9697,no,no
euro,2022,2022-08-28,Omega European Masters,2022132,no,no
kor,2022,2022-08-28,Bodyfriend Phantom Rovo Gunsan CC Open,9686,no,no
cha,2022,2022-08-28,Indoor Golf Group Challenge,2022322,no,no
pgt,2022,2022-08-28,ALTEPRO Trophy 2022 by EXTEC,9679,no,no
jpn,2022,2022-08-28,Sansan KBC Augusta,9682,no,no
can,2022,2022-08-28,CRMC Championship presented by Gertens,53,no,no
pga,2022,2022-08-28,TOUR Championship,60,yes,yes
kft,2022,2022-08-28,Nationwide Children's Hospital Championship,94,no,no
champ,2022,2022-08-28,The Ally Challenge,22,no,no
adt,2022,2022-08-27,BNI Ciputra Golfpreneur Tournament ADT 2022,9684,no,no
afr,2022,2022-08-27,Vodacom Origins of Golf Highland Gate,9685,no,no
ept,2022,2022-08-26,The Northern Ireland Masters,9678,no,no
pgti,2022,2022-08-26,IMPIGER TECHNOLOGIES presents CHENNAI OPEN GOLF CHAMPIONSHIP 2022 powered by FRUITNIK ELECTRO+,9683,no,no
kft,2022,2022-08-21,Albertsons Boise Open presented by Chevron,27,no,no
jpn,2022,2022-08-21,Shigeo Nagashima INVITATIONAL Sega Sammy Cup,9667,no,no
chn,2022,2022-08-21,Shenyang International Open,9671,no,no
can,2022,2022-08-21,CentrePort Canada Rail Park Manitoba Open,6,no,no
euro,2022,2022-08-21,D+D Real Czech Masters,2022131,no,no
pga,2022,2022-08-21,BMW Championship,28,yes,yes
asa,2022,2022-08-21,International Series Korea,9669,no,no
champ,2022,2022-08-21,DICK'S Sporting Goods Open,8,no,no
cha,2022,2022-08-21,Dormy Open,2022321,no,no
atgt,2022,2022-08-21,Singha Chiang Mai Open ,9668,no,no
pgti,2022,2022-08-20,TATA Steel PGTI Players Championship 2022 presented by KGISL,9674,no,no
ngl,2022,2022-08-20,Esbjerg Open by Totalenergies,9672,no,no
afr,2022,2022-08-19,SunBet Challenge hosted by Time Square Casino,9673,no,no
adt,2022,2022-08-19,The 2nd Gunung Geulis Golf Invitational supported by Nomura,9670,no,no
pga,2022,2022-08-14,FedEx St. Jude Championship,27,yes,yes
asa,2022,2022-08-14,International Series Singapore,9656,no,no
kft,2022,2022-08-14,Pinnacle Bank Championship presented by Aetna,123,no,no
kor,2022,2022-08-14,The 4th Woosung Construction Open,9654,no,no
champ,2022,2022-08-14,Boeing Classic,619,no,no
cha,2022,2022-08-14,Frederikshavn Challenge - Presented by HESSEL,2022320,no,no
euro,2022,2022-08-14,ISPS Handa World Invitational presented by AVIV Clinics,2022130,no,no
ngl,2022,2022-08-13,Timberwise Finnish Open,9658,no,no
ept,2022,2022-08-12,The Lancer Scott Championship,9657,no,no
pgt,2022,2022-08-10,Richter+Frenzel Open 2022 ,9659,no,no
can,2022,2022-08-07,Quebec Open,44,no,no
jpn,2022,2022-08-07,Japan PGA Championship 2022,9640,no,no
ngl,2022,2022-08-07,Göteborg Open presented by Enkla Elbolaget,9646,no,no
euro,2022,2022-08-07,Cazoo Open supported by Gareth Bale,2022129,no,no
