am,country,course,dg_id,dk_id,dk_salary,early_late,fd_id,fd_salary,flag,pga_number,player_name_x,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,driving_acc,driving_dist,player_name_y,sg_app,sg_arg,sg_ott,sg_putt,sg_total,event_id,expected_score,standard_deviation,cumulative_score,over_under_par,winning_probability
0,ARG,The Los Angeles Country Club (North Course),12808,28294089,7000,0,91156-78154,8600,ARG,31646,"Grillo, Emiliano",1:10 PM,7:40 AM,,,10,0,golf.p.11523,28,0.038,0.768,"Grillo, Emiliano",0.402,-0.106,0.204,0.082,0.583,26,70.92142022900386,0.9801692405334037,288.27435546610815,8.274355466108148,0.6397441635348675
0,CAN,The Los Angeles Country Club (North Course),13965,28273481,6900,1,91156-78166,8500,CAN,33399,"Hadwin, Adam",8:24 AM,1:54 PM,,,1,0,golf.p.11148,25,0.06,-3.968,"Hadwin, Adam",0.194,0.161,0.08,0.257,0.691,26,70.97380968705954,0.9676302854854,287.7791176140757,7.7791176140756875,0.8089997000685691
0,USA,The Los Angeles Country Club (North Course),16039,28273528,6300,0,91156-179517,7300,USA,35901,"Haley II, Paul",12:15 PM,6:45 AM,,,10,0,golf.p.12130,20,0.043,-13.658,"Haley II, Paul",-0.421,-0.004,-0.369,0.062,-0.731,26,70.96964282767378,0.9895160839409904,299.98443787441965,19.984437874419655,0.0
0,USA,The Los Angeles Country Club (North Course),19865,28273499,6700,0,91156-78185,7800,USA,47988,"Hardy, Nick",12:26 PM,6:56 AM,,,10,0,golf.p.19933,20,-0.014,7.456,"Hardy, Nick",0.126,-0.162,0.267,-0.066,0.165,26,70.94471589159066,1.0036204923601988,292.0592717477408,12.059271747740809,0.00031098603035328853
0,USA,The Los Angeles Country Club (North Course),8825,28273487,6900,0,91156-78187,8600,USA,27644,"Harman, Brian",1:43 PM,8:13 AM,,,1,0,golf.p.6937,29,0.063,-4.308,"Harman, Brian",0.052,0.126,0.21,0.123,0.512,26,70.92986235042449,0.9897920901973928,288.95726425754566,8.95726425754566,0.368565506351594
0,IRL,The Los Angeles Country Club (North Course),5716,28273510,6600,0,91156-78188,7700,IRL,20766,"Harrington, Padraig",12:59 PM,7:29 AM,,,10,0,golf.p.404,20,-0.014,1.442,"Harrington, Padraig",0.116,0.112,0.086,-0.162,0.152,26,70.98546275897016,0.9752028380898667,292.5212962706173,12.521296270617313,3.23016024552647e-05
0,ENG,The Los Angeles Country Club (North Course),14796,28273427,8900,1,91156-78193,9800,ENG,34363,"Hatton, Tyrrell",7:40 AM,1:10 PM,,,10,0,golf.p.11221,38,0.015,7.203,"Hatton, Tyrrell",0.548,0.219,0.52,0.53,1.818,26,70.94653139619555,1.048478215198598,277.8737807355796,-2.126219264420399,1.0
0,USA,The Los Angeles Country Club (North Course),14578,28273467,7100,0,91156-78206,9400,USA,34098,"Henley, Russell",1:21 PM,7:51 AM,,,1,0,golf.p.11062,30,0.103,-5.206,"Henley, Russell",0.678,0.253,0.155,0.07,1.156,26,70.96957726838862,0.997063906018125,283.7540484262402,3.7540484262402174,0.9999994837235817
0,AUS,The Los Angeles Country Club (North Course),17064,28273496,6700,1,91156-78211,8300,AUS,39058,"Herbert, Lucas",7:07 AM,12:37 PM,,,10,0,golf.p.13187,20,-0.041,7.863,"Herbert, Lucas",0.011,-0.012,0.341,0.319,0.659,26,71.03272824390938,1.0044709235423772,288.5692776632597,8.569277663259697,0.5221338027569647
0,USA,The Los Angeles Country Club (North Course),5768,28273488,6800,0,91156-78223,7600,USA,12716,"Hoffman, Charley",12:15 PM,6:45 AM,,,1,0,golf.p.696,20,-0.045,6.677,"Hoffman, Charley",0.156,-0.035,0.126,-0.499,-0.252,26,70.98927711125424,1.0215004302438306,296.0269932669834,16.026993266983425,2.1438406605511773e-13
0,USA,The Los Angeles Country Club (North Course),15575,28273462,7200,1,91156-78225,8500,USA,35532,"Hoge, Tom",7:51 AM,1:21 PM,,,10,0,golf.p.11792,31,0.025,-2.314,"Hoge, Tom",0.423,-0.015,-0.133,-0.043,0.233,26,71.00071859177613,1.0157757499358215,291.96473559247306,11.964735592473062,0.0005048102976595858
0,USA,The Los Angeles Country Club (North Course),17538,28273422,9400,1,91156-78228,10600,USA,39977,"Homa, Max",8:13 AM,1:43 PM,,,1,0,golf.p.13933,44,0.014,4.493,"Homa, Max",0.476,0.194,0.117,0.488,1.275,26,70.96020377535449,0.9579471445382092,282.6505105874609,2.6505105874608716,0.9999999997766942
0,USA,The Los Angeles Country Club (North Course),11276,28273464,7100,0,91156-78232,8600,USA,29420,"Horschel, Billy",1:43 PM,8:13 AM,,,1,0,golf.p.8598,28,0.021,-1.444,"Horschel, Billy",-0.216,0.091,-0.222,0.288,-0.059,26,70.91335416748028,1.007300349990232,293.71524933016013,13.715249330160134,2.1709462716401617e-07
0,ENG,The Los Angeles Country Club (North Course),11230,28273519,6400,1,91156-78233,7000,ENG,30909,"Horsey, David",8:46 AM,2:16 PM,,,10,0,golf.p.9382,20,0.065,-17.481,"Horsey, David",-0.88,-0.145,-0.689,-0.178,-1.892,26,70.97474351527984,0.9882526689728394,310.0,30.0,0.0
